Class,age0.0-15.0,age15.0-20.0,age20.0-30.0,age30.0-40.0,age40.0-50.0,age50.0-60.0,age60.0-70.0,age70.0-80.0,age80.0-Inf,PC,PCC,BA,HTN,DM,CAD,PE,ANE,APPET,BP50,BP60,BP70,BP80,BP90,BP100,BP110,AL0,AL1,AL2,AL3,AL4,SU0,SU1,SU2,SU3,SU4,SU5,SG1.005,SG1.01,SG1.015,SG1.02,SG1.025,bgr0.0-100.0,bgr100.0-125.0,bgr125.0-150.0,bgr150.0-175.0,bgr175.0-200.0,bgr200.0-250.0,bgr250.0-300.0,bgr300.0-400.0,bgr400.0-450.0,bgr450.0-Inf,bu0.0-25.0,bu25.0-50.0,bu50.0-75.0,bu75.0-100.0,bu100.0-125.0,bu125.0-150.0,bu150.0-175.0,bu175.0-200.0,bu200.0-225.0,bu225.0-250.0,bu250.0-Inf,sc0.0-1.0,sc1.0-2.0,sc2.0-3.0,sc3.0-4.0,sc4.0-6.0,sc6.0-8.0,sc8.0-10.0,sc10.0-12.0,sc12.0-Inf,sod0.0-115.0,sod115.0-120.0,sod120.0-125.0,sod125.0-130.0,sod130.0-135.0,sod135.0-140.0,sod140.0-145.0,sod145.0-Inf,pot0.0-5.0,pot5.0-10.0,pot10.0-Inf,hemo0.0-4.0,hemo4.0-6.0,hemo6.0-8.0,hemo8.0-9.0,hemo9.0-10.0,hemo10.0-11.0,hemo11.0-12.0,hemo12.0-13.0,hemo13.0-14.0,hemo14.0-15.0,hemo15.0-16.0,hemo16.0-17.0,hemo17.0-Inf,pcv0.0-10.0,pcv10.0-20.0,pcv20.0-25.0,pcv25.0-30.0,pcv30.0-35.0,pcv35.0-40.0,pcv40.0-45.0,pcv45.0-50.0,pcv50.0-Inf,wbcc0.0-5000.0,wbcc5000.0-7500.0,wbcc7500.0-10000.0,wbcc10000.0-12500.0,wbcc12500.0-15000.0,wbcc15000.0-20000.0,wbcc20000.0-Inf,rbcc0.0-2.5,rbcc2.5-3.0,rbcc3.0-3.5,rbcc3.5-4.0,rbcc4.0-4.5,rbcc4.5-5.0,rbcc5.0-5.5,rbcc5.5-6.0,rbcc6.0-6.5,rbcc6.5-7.0,rbcc7.0-Inf
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
